town,county,acs_population,primary_action,secondary_signals,decision_note,climate_safe_housing_mvp_score,housing_need_score,social_vulnerability_score,infrastructure_efficiency_proxy_score,resilience_investment_priority_score,pct_cost_burdened_households,pct_cost_burdened_renter_households,pct_below_poverty,pct_zero_vehicle_households,pct_65_plus,pct_with_disability,pct_under_18,pct_seasonal_housing_units,pct_long_commute_workers,pct_no_internet_or_subscription_households,climate_asset_sample_count,bridge_sample_count,culvert_sample_count,slr_site_sample_count,flood_site_sample_count
Maxfield,Penobscot,76.0,Seasonal market stabilization,seasonal/year-round housing pressure; workforce commute pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,21.15,27.86,28.46,23.36,44.07,10.0,0.0,8.57,0.0,13.16,21.05,7.89,37.74,60.71,0.0,0.0,0.0,0.0,0.0,0.0
West Forks,Somerset,125.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,20.68,28.28,21.98,25.32,36.21,17.86,0.0,3.2,0.0,18.4,10.4,18.4,40.2,17.95,5.36,0.0,0.0,0.0,0.0,0.0
Rangeley,Franklin,81.0,Seasonal market stabilization,seasonal/year-round housing pressure; workforce commute pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,20.29,15.01,50.0,22.04,44.75,30.16,62.61,1.77,7.0,49.12,32.58,3.91,67.7,25.06,0.0,0.0,0.0,0.0,0.0,0.0
Rangeley,Franklin,81.0,Seasonal market stabilization,seasonal/year-round housing pressure; digital resilience gap,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,20.29,15.01,50.0,22.04,44.75,0.0,0.0,0.0,0.0,100.0,50.62,0.0,87.16,0.0,41.3,0.0,0.0,0.0,0.0,0.0
Northwest Somerset UT,Somerset,26.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,19.91,15.0,20.0,40.01,20.15,0.0,0.0,0.0,0.0,100.0,0.0,0.0,94.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seboomook Lake UT,Somerset,41.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,19.91,15.0,20.0,40.02,20.15,0.0,0.0,0.0,0.0,63.41,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nashville,Aroostook,12.0,Seasonal market stabilization,seasonal/year-round housing pressure; workforce commute pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,19.11,15.0,40.0,24.33,44.55,0.0,0.0,0.0,0.0,50.0,50.0,0.0,40.91,45.45,0.0,0.0,0.0,0.0,0.0,0.0
Dennistown,Somerset,134.0,Monitor and screen after hazard layers,workforce commute pressure,Keep in statewide monitoring queue until complete hazard and environmental layers are ingested.,18.57,3.42,20.0,27.15,27.53,0.0,0.0,0.0,0.0,34.33,10.45,23.13,7.58,34.78,0.0,0.0,0.0,0.0,0.0,0.0
East Hancock UT,Hancock,42.0,Seasonal market stabilization,seasonal/year-round housing pressure; digital resilience gap; workforce commute pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,18.45,22.62,36.88,14.68,52.21,0.0,0.0,9.52,0.0,42.86,9.52,9.52,94.57,47.37,15.0,0.0,0.0,0.0,0.0,0.0
Glenwood,Aroostook,6.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,16.3,15.0,0.0,40.0,13.75,0.0,0.0,0.0,0.0,0.0,0.0,33.33,94.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wyman UT,Franklin,14.0,Seasonal market stabilization,seasonal/year-round housing pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,16.3,15.0,0.0,40.0,13.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Franklin UT,Franklin,13.0,Seasonal market stabilization,seasonal/year-round housing pressure; workforce commute pressure,Year-round housing supply and affordability should be separated from seasonal or second-home market pressure.,10.62,15.0,0.0,19.7,30.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.31,30.77,0.0,0.0,0.0,0.0,0.0,0.0
